English,French
as,comme
I,je
his,son
that,que
he,il
was,était
for,pour
on,sur
are,sont
with,avec
they,ils
be,être
at,à
one,un
have,avoir
this,ce
from,à partir de
by,par
hot,chaud
word,mot
but,mais
what,que
some,certains
is,est
it,il
you,vous
or,ou
had,eu
the,la
of,de
to,à
and,et
a,un
in,dans
we,nous
can,boîte
out,dehors
other,autre
were,étaient
which,qui
do,faire
their,leur
time,temps
if,si
will,volonté
said,dit
an,un
each,chaque
tell,dire
does,ne
set,ensemble
three,trois
want,vouloir
air,air
well,bien
also,aussi
play,jouer
small,petit
end,fin
put,mettre
home,maison
read,lire
hand,main
port,port
large,grand
spell,épeler
add,ajouter
even,même
here,ici
must,il faut
big,grand
high,haut
such,tel
follow,suivre
act,acte
why,pourquoi
ask,interroger
men,hommes
change,changement
went,est allé
light,lumière
kind,genre
off,de
need,besoin
house,maison
picture,image
try,essayer
us,nous
again,encore
animal,animal
point,point
mother,mère
world,monde
near,près de
build,construire
self,soi
earth,terre
father,père
any,tout
new,nouveau
work,travail
part,partie
take,prendre
get,obtenir
place,lieu
made,fabriqué
live,vivre
where,où
after,après
back,arrière
little,peu
only,seulement
round,tour
man,homme
year,année
came,est venu
show,montrer
every,tous
good,bon
me,moi
give,donner
our,notre
under,sous
name,nom
very,très
through,par
just,juste
form,forme
sentence,phrase
great,grand
think,penser
say,dire
help,aider
low,faible
line,ligne
differ,différer
turn,tour
cause,la cause
much,beaucoup
before,avant
move,déménagement
right,droit
boy,garçon
old,vieux
too,trop
same,même
she,elle
all,tous
there,là
when,quand
up,jusqu’à
use,utiliser
your,votre
way,manière
about,sur
many,beaucoup
then,puis
them,les
write,écrire
would,voudrais
like,comme
so,si
these,ces
her,son
long,long
make,faire
thing,chose
see,voir
him,lui
two,deux
has,a
look,regarder
more,plus
day,jour
could,pourrait
go,aller
come,venir
did,fait
number,nombre
sound,son
no,aucun
most,plus
people,personnes
my,ma
over,sur
know,savoir
water,eau
than,que
call,appel
first,première
who,qui
may,peut
down,vers le bas
side,côté
been,été
now,maintenant
find,trouver
