English,German
as,wie
I,ich
his,seine
that,dass
he,er
was,war
for,für
on,auf
are,sind
with,mit
they,sie
be,sein
at,bei
one,ein
have,haben
this,dies
from,aus
by,durch
hot,heiß
word,Wort
but,aber
what,was
some,einige
is,ist
it,es
you,Sie
or,oder
had,hatte
the,die
of,von
to,zu
and,und
a,ein
in,bei
we,wir
can,können
out,aus
other,andere
were,waren
which,die
do,tun
their,ihre
time,Zeit
if,wenn
will,werden
how,wie
said,sagte
an,ein
each,jeder
tell,sagen
does,tut
set,Satz
three,drei
want,wollen
air,Luft
well,gut
also,auch
play,spielen
small,klein
end,Ende
put,setzen
home,Zuhause
read,lesen
hand,seits
port,Hafen
large,groß
spell,buchstabieren
add,hinzufügen
even,auch
land,Lande
here,hier
must,muss
big,groß
high,hoch
such,so
follow,folgen
act,Akt
why,warum
ask,fragen
men,Männer
change,Veränderung
went,ging
light,Licht
kind,Art
off,aus
need,müssen
house,Haus
picture,Bild
try,versuchen
us,uns
again,wieder
animal,Tier
point,Punkt
mother,Mutter
world,Welt
near,in der Nähe von
build,bauen
self,selbst
earth,Erde
father,Vater
any,jeder
new,neu
work,Arbeit
part,Teil
take,nehmen
get,erhalten
place,Ort
made,gemacht
live,leben
where,wo
after,nach
back,zurück
little,wenig
only,nur
round,Runde
man,Mann
year,Jahr
came,kam
show,zeigen
every,jeder
good,gut
me,mir
give,geben
our,unsere
under,unter
name,Name
very,sehr
through,durch
just,nur
form,Formular
sentence,Satz
great,groß
think,denken
say,sagen
help,Hilfe
low,niedrig
line,Linie
differ,abweichen
turn,wiederum
cause,Ursache
much,viel
mean,bedeuten
before,vor
move,Umzug
right,Recht
boy,Junge
old,alt
too,zu
same,gleich
she,sie
all,alle
there,da
when,wenn
up,nach oben
use,Verwendung
your,Ihre
way,Weg
about,über
many,viele
then,dann
them,sie
write,schreiben
would,würde
like,wie
so,so
these,diese
her,sie
long,lange
make,machen
thing,Sache
see,sehen
him,ihm
two,zwei
has,hat
look,suchen
more,mehr
day,Tag
could,könnte
go,gehen
come,kommen
did,tat
number,Anzahl
sound,klingen
no,nicht
most,am meisten
people,Menschen
my,meine
over,über
know,wissen
water,Wasser
than,als
call,Anruf
first,erste
who,die
may,können
down,nach unten
side,Seite
been,gewesen
now,jetzt
find,finden
