English,Spanish
as,como
I,yo
his,su
that,que
he,él
was,era
for,para
on,en
are,son
with,con
they,ellos
be,ser
at,en
one,uno
have,tener
this,este
from,desde
by,por
hot,caliente
word,palabra
but,pero
what,qué
some,algunos
is,es
it,lo
you,usted
or,o
had,tenido
the,la
of,de
to,a
and,y
a,un
in,en
we,nos
can,lata
out,fuera
other,otros
were,eran
which,que
do,hacer
their,su
time,tiempo
if,si
will,lo hará
how,cómo
said,dicho
an,un
each,cada
tell,decir
does,hace
set,conjunto
three,tres
want,querer
air,aire
well,así
also,también
play,jugar
small,pequeño
end,fin
put,poner
home,casa
read,leer
hand,mano
port,puerto
large,grande
spell,deletrear
add,añadir
even,incluso
land,tierra
here,aquí
must,debe
big,grande
high,alto
such,tal
follow,siga
act,acto
why,por qué
ask,preguntar
men,hombres
change,cambio
went,se fue
light,luz
kind,tipo
off,fuera
need,necesitará
house,casa
picture,imagen
try,tratar
us,nosotros
again,de nuevo
animal,animal
point,punto
mother,madre
world,mundo
near,cerca
build,construir
self,auto
earth,tierra
father,padre
any,cualquier
new,nuevo
work,trabajo
part,parte
take,tomar
get,conseguir
place,lugar
made,hecho
live,vivir
where,donde
after,después
back,espalda
little,poco
only,sólo
round,ronda
man,hombre
year,años
came,vino
show,show
every,cada
good,buena
me,me
give,dar
our,nuestro
under,bajo
name,nombre
very,muy
through,a través de
just,sólo
form,forma
sentence,frase
great,gran
think,pensar
say,decir
help,ayudar
low,bajo
line,línea
differ,ser distinto
turn,"a su vez,"
cause,causa
much,mucho
mean,significará
before,antes
move,movimiento
right,derecho
boy,niño
old,viejo
too,demasiado
same,misma
she,ella
all,todo
there,hay
when,cuando
up,hasta
use,uso
your,su
way,camino
about,acerca
many,muchos
then,entonces
them,ellos
write,escribir
would,haría
like,como
so,así
these,éstos
her,su
long,largo
make,hacer
thing,cosa
see,ver
him,él
two,dos
has,tiene
look,buscar
more,más
day,día
could,podía
go,ir
come,venir
did,hizo
number,número
sound,sonar
no,no
most,más
people,personas
my,mi
over,sobre
know,saber
water,agua
than,que
call,llamada
first,primero
who,que
may,puede
down,abajo
side,lado
been,estado
now,ahora
find,encontrar
